rid,growth_mid,edad_inicial,ha
646,30,16,4
647,26,13,0
648,22,15,2
649,26,15,1
650,28,1,0
651,20,3,5
652,24,1,0
653,24,0,15
654,28,3,7
655,20,2,10
656,20,0,1
657,20,1,0
658,32,2,0
659,20,2,1
660,28,3,0
661,3,24,1
662,20,2,11
663,20,2,6
776,26,28,1
1116,6,13,1
1117,5,19,3
1118,5,19,3
1119,5,14,6
1120,0,21,10
1121,8,17,8
1122,1,23,2
1123,6,25,16
1124,1,15,7
1125,9,21,9
1126,5,29,0
1127,9,14,11
1128,0,19,10
1129,8,17,9
1130,2,16,18
1131,1,17,25
1132,6,22,3
1133,9,14,21
1134,1,26,3
1135,1,20,5
1136,5,21,11
1137,4,13,4
1138,3,26,19
1139,3,14,7
1140,1,18,0
1141,7,17,0
1142,7,23,0
1143,5,24,13
1144,6,28,3
1145,4,15,0
1146,8,27,0
1147,9,19,0
1148,3,12,7
1149,5,12,7
1150,7,17,3
1151,7,23,2
1152,0,17,1
1153,6,15,4
1154,7,21,1
1155,4,15,6
1156,3,17,6
1157,6,11,2
1158,7,16,5
1159,9,12,10
1160,6,22,1
1161,6,19,3
1162,7,27,8
1163,4,30,8
1164,7,22,3
1165,7,11,2
1166,3,23,6
1167,4,30,7
1168,7,17,3
1169,6,18,4
1170,4,26,13
1171,7,15,2
1172,3,26,2
1173,6,11,2
1174,0,28,3
1175,7,16,8
1176,5,12,8
1177,1,16,1
1178,3,19,10
1179,9,21,8
1180,9,17,8
1181,1,27,5
1182,7,28,1
1183,6,17,2
1184,0,26,11
1185,0,14,9
1186,5,16,19
1187,3,12,15
1188,7,11,12
1189,3,22,1
1190,7,18,6
1191,6,22,2
1192,4,20,21
1193,2,23,6
1194,4,13,4
1195,7,18,38
1196,8,26,2
1197,9,23,11
1198,0,17,5
1199,4,14,3
1200,5,28,54
1201,6,21,26
1202,7,28,4
1203,8,19,16
1204,8,11,10
1205,8,26,6
1206,4,30,19
1207,8,29,25
1208,6,20,9
1209,9,14,15
1210,30,14,6
1211,30,14,11
1212,22,12,16
1213,26,13,10
1214,26,17,13
1215,26,12,19
1216,26,15,4
1217,22,12,36
1218,26,16,16
1219,22,17,22
1220,30,14,20
1221,22,14,17
1222,22,12,8
1223,26,12,10
1224,22,12,8
1225,30,16,13
1226,30,12,5
1227,26,14,8
1228,26,17,5
1229,22,14,5
1230,22,16,6
1231,22,12,1
1232,26,14,3
1233,22,13,9
1234,22,14,10
1235,30,13,1
1236,26,16,5
1237,30,14,1
1238,22,14,2
1239,22,14,2
1240,22,35,5
1241,22,23,11
1242,30,35,10
1243,26,12,14
1244,22,16,5
1245,22,17,1
1246,22,13,22
1247,26,13,17
1248,30,15,9
1249,30,33,11
1250,30,40,2
1251,30,23,6
1252,22,21,4
1253,30,16,6
1254,30,14,6
1255,30,14,16
1256,26,16,1
1257,26,13,1
1258,26,13,7
1259,26,12,4
1260,22,16,9
1261,22,13,2
1262,26,14,1
1263,30,12,3
1264,26,13,7
1265,30,13,1
1266,22,15,11
1267,22,14,5
1268,22,17,3
1269,30,17,3
1270,22,17,2
1271,30,12,1
1272,26,16,12
1273,26,17,17
1274,22,14,21
1275,22,13,17
1276,26,15,1
1277,26,17,14
1278,22,17,9
1279,30,15,6
1280,26,12,8
1281,26,12,12
1282,30,13,3
1283,26,15,2
1284,26,16,3
1285,30,16,23
1286,22,15,14
1287,26,12,24
1288,30,13,33
1289,30,12,5
1290,30,17,13
1291,22,17,4
1292,30,15,10
1293,22,15,6
1294,22,14,10
1295,22,15,14
1296,30,14,1
1297,22,13,1
1298,30,15,19
1299,22,17,9
1300,22,17,23
1301,26,13,3
1302,26,16,8
1303,30,16,4
1304,26,14,3
1305,22,17,3
1306,30,15,15
1307,22,16,8
1308,22,13,4
1309,26,12,3
1310,26,14,2
1311,22,13,1
1312,30,12,5
1313,26,12,5
1314,30,17,11
1315,26,12,2
1316,22,15,2
1317,22,14,61
1318,22,15,5
1319,22,12,1
1320,26,16,2
1321,30,14,6
1322,30,13,3
1323,22,17,1
1324,30,13,5
1325,30,16,8
1326,30,17,2
1327,30,15,1
1328,22,17,3
1329,26,15,1
1330,30,16,10
1331,30,16,3
1332,26,14,5
1333,26,17,2
1334,22,13,2
1335,22,15,4
1336,30,17,2
1337,26,13,4
1338,26,12,7
1339,22,12,2
1340,22,12,2
1341,26,13,2
1342,30,16,5
1343,30,13,1
1344,30,13,20
1345,30,15,2
1346,30,12,5
1347,30,15,8
1348,26,12,1
1349,22,13,4
1350,22,15,4
1351,30,15,6
1352,30,15,2
1353,22,15,2
1354,30,13,3
1355,26,15,3
1356,30,14,1
1357,30,13,2
1358,22,15,1
1359,30,14,3
1360,26,12,1
1361,26,12,6
1362,22,14,4
1363,26,17,6
1364,26,16,12
1365,26,17,5
1366,22,15,7
1367,22,16,7
1368,22,12,20
1369,30,16,7
1370,26,17,15
1371,26,14,3
1372,30,13,10
1373,30,16,7
1374,30,14,14
1375,26,16,3
1376,26,14,2
1377,22,13,4
1378,30,12,1
1379,26,14,3
1380,22,13,10
1381,30,15,4
1382,22,14,4
1383,22,15,1
1384,30,12,2
1385,22,17,5
1386,26,15,4
1387,30,12,5
1388,26,12,3
1389,26,16,1
1390,22,14,1
1391,22,14,4
1392,26,16,1
1393,22,15,7
1394,30,13,10
1395,26,15,4
1396,26,14,8
1397,22,13,6
1398,22,16,7
1399,26,12,5
1400,22,17,15
1401,22,15,11
1402,26,14,6
1403,22,13,6
1404,30,14,9
1405,30,13,5
1406,30,12,4
1407,22,17,9
1408,26,12,6
1409,22,15,1
1410,22,15,2
1411,30,15,1
1412,30,15,0
1413,30,17,17
1414,22,12,3
1415,30,13,1
1416,30,17,10
1417,30,13,7
1418,26,15,1
1419,30,14,4
1420,30,16,9
1421,30,13,4
1422,22,12,2
1423,22,14,11
1424,22,17,2
1425,26,17,10
1426,30,14,13
1427,30,15,1
1428,30,12,1
1429,26,17,6
1430,30,15,14
1431,26,17,1
1432,22,16,34
1433,30,15,27
1434,26,16,20
1435,26,15,6
1436,26,12,8
1437,26,14,5
1438,22,17,6
1439,30,13,19
1440,30,14,10
1441,22,13,1
1442,30,12,1
1443,30,16,3
1444,22,16,3
1445,22,14,5
1446,26,12,3
1447,22,13,3
1448,26,14,8
1449,26,17,7
1450,32,3,1
1451,20,1,16
1452,20,2,35
1453,32,2,30
1454,24,2,16
1455,32,3,21
1456,32,3,14
1457,20,1,5
1458,24,1,2
1459,28,2,6
1460,24,1,6
1461,32,1,20
1462,24,0,1
1463,32,3,14
1464,32,2,10
1465,28,0,23
1466,28,0,30
1467,32,3,1
1468,28,0,14
1469,24,3,3
1470,24,1,28
1471,20,3,31
1472,20,1,4
1473,28,1,12
1474,28,0,9
1475,20,3,2
1476,32,3,35
1477,32,0,16
1478,24,0,66
1479,20,0,24
1480,24,1,18
1481,28,2,13
1482,24,2,9
1483,24,1,46
1484,32,1,33
1485,24,0,40
1486,32,3,1
1487,32,3,51
1488,6,14,3
1489,8,24,7
1490,9,19,14
1491,3,30,4
1492,8,24,4
1493,4,22,1
1494,9,23,4
1495,9,20,2
1496,8,22,6
1497,5,18,60
1498,30,16,11
1499,26,14,11
1500,30,17,5
1501,30,17,13
1502,26,13,1
1503,30,12,12
1504,22,15,6
1505,30,15,1
1506,22,15,7
1507,30,16,13
1508,30,13,20
1509,22,12,8
1510,26,12,1
1511,22,12,7
1512,30,14,10
1513,26,14,1
1514,22,14,13
1515,22,13,16
1516,22,14,5
1517,30,15,4
1518,22,12,7
1519,30,15,10
1520,30,13,13
1521,22,12,6
1522,26,12,5
1523,22,15,4
1524,26,12,1
1525,22,15,5
1526,22,12,7
1527,26,12,8
1528,26,14,11
1529,22,14,5
1530,30,17,2
1531,22,25,1
1532,22,21,7
1533,22,35,11
1534,26,20,10
1535,22,36,10
1536,30,17,1
1537,26,17,9
1538,22,15,10
1539,30,15,14
1540,22,17,2
1541,26,14,4
1542,30,14,4
1543,30,16,7
1544,26,16,4
1545,26,16,4
1546,30,17,7
1547,22,17,2
1548,26,13,5
1759,30,14,1
1760,22,17,0
1761,22,13,1
1762,30,16,3
1763,30,14,1
1764,26,15,2
1765,22,12,6
1766,26,14,7
1767,22,13,1
1768,22,13,0
